Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory,change,error,K*error,Time[s],mod_time,mod_present_pos,mod_goal_pos
37850,22537,2324,3208,3208,0.0,884,53040,37.85,0.07000000000000028,96.0,980.0
37930,22617,2465,3208,3208,0.0,743,44580,37.93,0.14999999999999858,237.0,980.0
38010,22697,2595,3208,3208,0.0,613,36780,38.01,0.22999999999999687,367.0,980.0
38090,22777,2701,3208,3208,0.0,507,30420,38.09,0.3100000000000023,473.0,980.0
38170,22857,2787,3208,3208,0.0,421,25260,38.17,0.39000000000000057,559.0,980.0
38250,22937,2851,3208,3208,0.0,357,21420,38.25,0.46999999999999886,623.0,980.0
38330,23017,2903,3208,3208,0.0,305,18300,38.33,0.5499999999999972,675.0,980.0
38410,23097,2942,3208,3208,0.0,266,15960,38.41,0.6299999999999955,714.0,980.0
38490,23177,2976,3208,3208,0.0,232,13920,38.49,0.7100000000000009,748.0,980.0
38570,23257,2998,3208,3208,0.0,210,12600,38.57,0.7899999999999991,770.0,980.0
38650,23337,3021,3208,3208,0.0,187,11220,38.65,0.8699999999999974,793.0,980.0
38730,23417,3036,3208,3208,0.0,172,10320,38.73,0.9499999999999957,808.0,980.0
38809,23496,3043,3208,3208,0.0,165,9900,38.809,1.0289999999999964,815.0,980.0
38890,23577,3051,3208,3208,0.0,157,9420,38.89,1.1099999999999994,823.0,980.0
38970,23657,3063,3208,3208,0.0,145,8700,38.97,1.1899999999999977,835.0,980.0
39050,23737,3072,3208,3208,0.0,136,8160,39.05,1.269999999999996,844.0,980.0
39130,23817,3078,3208,3208,0.0,130,7800,39.13,1.3500000000000014,850.0,980.0
39210,23897,3080,3208,3208,0.0,128,7680,39.21,1.4299999999999997,852.0,980.0
39290,23977,3081,3208,3208,0.0,127,7620,39.29,1.509999999999998,853.0,980.0
39370,24057,3081,3208,3208,0.0,127,7620,39.37,1.5899999999999963,853.0,980.0
39449,24136,3081,3208,3208,0.0,127,7620,39.449,1.668999999999997,853.0,980.0
39530,24217,3081,3208,3208,0.0,127,7620,39.53,1.75,853.0,980.0
39610,24297,3081,3208,3208,0.0,127,7620,39.61,1.8299999999999983,853.0,980.0
39689,24376,3081,3208,3208,0.0,127,7620,39.689,1.908999999999999,853.0,980.0
39770,24457,3081,3208,3208,0.0,127,7620,39.77,1.990000000000002,853.0,980.0
39850,24537,3081,3208,3208,0.0,127,7620,39.85,2.0700000000000003,853.0,980.0
39930,24617,3081,3208,3208,0.0,127,7620,39.93,2.1499999999999986,853.0,980.0
40010,24697,3081,3208,3208,0.0,127,7620,40.01,2.229999999999997,853.0,980.0
40090,24777,3081,3208,3208,0.0,127,7620,40.09,2.3100000000000023,853.0,980.0
40170,24857,3081,3208,3208,0.0,127,7620,40.17,2.3900000000000006,853.0,980.0
40250,24937,3081,3208,3208,0.0,127,7620,40.25,2.469999999999999,853.0,980.0
40329,25016,3081,3208,3208,0.0,127,7620,40.329,2.5489999999999995,853.0,980.0
40410,25097,3081,3208,3208,0.0,127,7620,40.41,2.6299999999999955,853.0,980.0
40490,25177,3081,3208,3208,0.0,127,7620,40.49,2.710000000000001,853.0,980.0
40569,25256,3081,3208,3208,0.0,127,7620,40.569,2.7890000000000015,853.0,980.0
40649,25336,3081,3208,3208,0.0,127,7620,40.649,2.8689999999999998,853.0,980.0
40730,25417,3081,3208,3208,0.0,127,7620,40.73,2.9499999999999957,853.0,980.0
40810,25497,3081,3208,3208,0.0,127,7620,40.81,3.030000000000001,853.0,980.0
40889,25576,3081,3208,3208,0.0,127,7620,40.889,3.1090000000000018,853.0,980.0
40969,25656,3081,3208,3208,0.0,127,7620,40.969,3.189,853.0,980.0
41049,25736,3081,3208,3208,0.0,127,7620,41.049,3.2689999999999984,853.0,980.0
41130,25817,3081,3208,3208,0.0,127,7620,41.13,3.3500000000000014,853.0,980.0
41210,25897,3081,3208,3208,0.0,127,7620,41.21,3.4299999999999997,853.0,980.0
41290,25977,3081,3208,3208,0.0,127,7620,41.29,3.509999999999998,853.0,980.0
41369,26056,3081,3208,3208,0.0,127,7620,41.369,3.5889999999999986,853.0,980.0
41450,26137,3081,3208,3208,0.0,127,7620,41.45,3.6700000000000017,853.0,980.0
41530,26217,3081,3208,3208,0.0,127,7620,41.53,3.75,853.0,980.0
41609,26296,3081,3208,3208,0.0,127,7620,41.609,3.8290000000000006,853.0,980.0
41689,26376,3081,3208,3208,0.0,127,7620,41.689,3.908999999999999,853.0,980.0
41769,26456,3081,3208,3208,0.0,127,7620,41.769,3.988999999999997,853.0,980.0
41850,26537,3081,3208,3208,0.0,127,7620,41.85,4.07,853.0,980.0
41929,26616,3081,3208,3208,0.0,127,7620,41.929,4.149000000000001,853.0,980.0
42009,26696,3081,3208,3208,0.0,127,7620,42.009,4.228999999999999,853.0,980.0
42090,26777,3081,3208,3208,0.0,127,7620,42.09,4.310000000000002,853.0,980.0
42169,26856,3081,3208,3208,0.0,127,7620,42.169,4.388999999999996,853.0,980.0
42249,26936,3081,3208,3208,0.0,127,7620,42.249,4.469000000000001,853.0,980.0
42329,27016,3081,3208,3208,0.0,127,7620,42.329,4.5489999999999995,853.0,980.0
42409,27096,3081,3208,3208,0.0,127,7620,42.409,4.628999999999998,853.0,980.0
42489,27176,3081,3208,3208,0.0,127,7620,42.489,4.708999999999996,853.0,980.0
42570,27257,3081,3208,3208,0.0,127,7620,42.57,4.789999999999999,853.0,980.0
42649,27336,3081,3208,3208,0.0,127,7620,42.649,4.869,853.0,980.0
42729,27416,3081,3208,3208,0.0,127,7620,42.729,4.948999999999998,853.0,980.0
42809,27496,3081,3208,3208,0.0,127,7620,42.809,5.028999999999996,853.0,980.0
42890,27577,3081,3208,3208,0.0,127,7620,42.89,5.109999999999999,853.0,980.0
42970,27657,3081,3208,3208,0.0,127,7620,42.97,5.189999999999998,853.0,980.0
43049,27736,3081,3208,3208,0.0,127,7620,43.049,5.268999999999998,853.0,980.0
43130,27817,3081,3208,3208,0.0,127,7620,43.13,5.350000000000001,853.0,980.0
43209,27896,3081,3208,3208,0.0,127,7620,43.209,5.429000000000002,853.0,980.0
43290,27977,3081,3208,3208,0.0,127,7620,43.29,5.509999999999998,853.0,980.0
43369,28056,3081,3208,3208,0.0,127,7620,43.369,5.588999999999999,853.0,980.0
43451,28138,3081,3208,3208,0.0,127,7620,43.451,5.670999999999999,853.0,980.0
43529,28216,3081,3208,3208,0.0,127,7620,43.529,5.749000000000002,853.0,980.0
43609,28296,3081,3208,3208,0.0,127,7620,43.609,5.829000000000001,853.0,980.0
