Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory
16993,1680,2094,1961,1961
17073,1760,2094,1961,1961
17152,1839,2094,1961,1961
17232,1919,2094,1961,1961
17312,1999,2094,1961,1961
17393,2080,2094,1961,1961
17473,2160,2094,1961,1961
17553,2240,2094,1961,1961
17633,2320,2094,1961,1961
17712,2399,2094,1961,1961
17793,2480,2094,1961,1961
17873,2560,2094,1961,1961
17952,2639,2094,1961,1961
18032,2719,2094,1961,1961
18113,2800,2094,1961,1961
18193,2880,2094,1961,1961
18273,2960,2094,1961,1961
18353,3040,2094,1961,1961
18433,3120,2094,1961,1961
18512,3199,2094,1961,1961
18594,3281,2094,1961,1961
18673,3360,2094,1961,1961
18753,3440,2094,1961,1961
18838,3525,2095,3512,3512
18913,3600,2242,3512,3512
18992,3679,2446,3512,3512
19073,3760,2639,3512,3512
19152,3839,2796,3512,3512
19233,3920,2917,3512,3512
19312,3999,3012,3512,3512
19392,4079,3087,3512,3512
19472,4159,3148,3512,3512
19552,4239,3198,3512,3512
19632,4319,3235,3512,3512
19713,4400,3266,3512,3512
19793,4480,3294,3512,3512
19873,4560,3311,3512,3512
19952,4639,3329,3512,3512
20032,4719,3345,3512,3512
20112,4799,3354,3512,3512
20192,4879,3359,3512,3512
20272,4959,3362,3512,3512
20353,5040,3369,3512,3512
20432,5119,3378,3512,3512
20512,5199,3386,3512,3512
20592,5279,3392,3512,3512
20673,5360,3395,3512,3512
20752,5439,3397,3512,3512
20833,5520,3397,3512,3512
20912,5599,3397,3512,3512
20992,5679,3397,3512,3512
21072,5759,3397,3512,3512
21153,5840,3397,3512,3512
21232,5919,3397,3512,3512
21312,5999,3397,3512,3512
21392,6079,3397,3512,3512
21473,6160,3397,3512,3512
21553,6240,3397,3512,3512
21632,6319,3397,3512,3512
21712,6399,3397,3512,3512
21792,6479,3397,3512,3512
21873,6560,3398,3512,3512
21952,6639,3397,3512,3512
22032,6719,3398,3512,3512
22113,6800,3397,3512,3512
22192,6879,3398,3512,3512
22273,6960,3397,3512,3512
22352,7039,3398,3512,3512
22432,7119,3398,3512,3512
22512,7199,3398,3512,3512
22592,7279,3398,3512,3512
22672,7359,3398,3512,3512
22752,7439,3397,3512,3512
22831,7518,3397,3512,3512
22912,7599,3398,3512,3512
22992,7679,3397,3512,3512
23072,7759,3397,3512,3512
23152,7839,3397,3512,3512
23232,7919,3398,3512,3512
23312,7999,3397,3512,3512
23391,8078,3397,3512,3512
23472,8159,3398,3512,3512
23552,8239,3397,3512,3512
23632,8319,3398,3512,3512
23711,8398,3397,3512,3512
23792,8479,3397,3512,3512
23871,8558,3397,3512,3512
23952,8639,3397,3512,3512
24031,8718,3397,3512,3512
24111,8798,3397,3512,3512
24192,8879,3397,3512,3512
24272,8959,3397,3512,3512
24352,9039,3398,3512,3512
24431,9118,3398,3512,3512
24512,9199,3398,3512,3512
24592,9279,3398,3512,3512
24672,9359,3398,3512,3512
24752,9439,3398,3512,3512
24831,9518,3398,3512,3512
24912,9599,3398,3512,3512
24991,9678,3398,3512,3512
25091,9778,3404,4019,4019
25172,9859,3478,4019,4019
25251,9938,3557,4019,4019
25331,10018,3625,4019,4019
25412,10099,3681,4019,4019
25491,10178,3726,4019,4019
25572,10259,3764,4019,4019
25651,10338,3792,4019,4019
25731,10418,3818,4019,4019
25811,10498,3838,4019,4019
25891,10578,3854,4019,4019
25972,10659,3868,4019,4019
26051,10738,3880,4019,4019
26132,10819,3885,4019,4019
26212,10899,3889,4019,4019
26292,10979,3892,4019,4019
26372,11059,3894,4019,4019
26451,11138,3897,4019,4019
26531,11218,3900,4019,4019
26612,11299,3903,4019,4019
26691,11378,3908,4019,4019
26771,11458,3909,4019,4019
26851,11538,3911,4019,4019
26932,11619,3913,4019,4019
27011,11698,3912,4019,4019
27091,11778,3913,4019,4019
27172,11859,3913,4019,4019
27251,11938,3913,4019,4019
27332,12019,3913,4019,4019
27411,12098,3912,4019,4019
27492,12179,3913,4019,4019
27571,12258,3913,4019,4019
27652,12339,3913,4019,4019
27731,12418,3913,4019,4019
27811,12498,3913,4019,4019
27891,12578,3913,4019,4019
27971,12658,3913,4019,4019
28051,12738,3913,4019,4019
28131,12818,3913,4019,4019
28212,12899,3913,4019,4019
28291,12978,3913,4019,4019
28372,13059,3913,4019,4019
28451,13138,3913,4019,4019
28532,13219,3913,4019,4019
28611,13298,3913,4019,4019
28691,13378,3913,4019,4019
28771,13458,3913,4019,4019
28851,13538,3913,4019,4019
28931,13618,3913,4019,4019
29011,13698,3913,4019,4019
29092,13779,3913,4019,4019
29172,13859,3913,4019,4019
29252,13939,3913,4019,4019
29332,14019,3913,4019,4019
29411,14098,3913,4019,4019
29491,14178,3913,4019,4019
29571,14258,3913,4019,4019
29652,14339,3913,4019,4019
29731,14418,3913,4019,4019
29811,14498,3913,4019,4019
29891,14578,3913,4019,4019
29971,14658,3913,4019,4019
30051,14738,3913,4019,4019
30132,14819,3913,4019,4019
30211,14898,3913,4019,4019
30291,14978,3913,4019,4019
30371,15058,3913,4019,4019
30451,15138,3913,4019,4019
30531,15218,3913,4019,4019
30612,15299,3913,4019,4019
30692,15379,3913,4019,4019
30771,15458,3913,4019,4019
30851,15538,3913,4019,4019
30934,15621,3912,2121,2121
31031,15718,3649,2121,2121
31110,15797,3386,2121,2121
31191,15878,3161,2121,2121
31271,15958,2978,2121,2121
31351,16038,2834,2121,2121
31431,16118,2715,2121,2121
31512,16199,2615,2121,2121
