Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory
0,11083,3871,4022,4022
88,11171,3871,4022,4022
168,11251,3871,4022,4022
247,11330,3871,4022,4022
328,11411,3871,4022,4022
407,11490,3871,4022,4022
488,11571,3871,4022,4022
568,11651,3871,4022,4022
648,11731,3871,4022,4022
728,11811,3871,4022,4022
808,11891,3871,4022,4022
888,11971,3871,4022,4022
967,12050,3871,4022,4022
1048,12131,3871,4022,4022
1127,12210,3871,4022,4022
1207,12290,3871,4022,4022
1288,12371,3871,4022,4022
1367,12450,3871,4022,4022
1448,12531,3871,4022,4022
1527,12610,3871,4022,4022
1607,12690,3871,4022,4022
1688,12771,3871,4022,4022
1768,12851,3871,4022,4022
1847,12930,3871,4022,4022
1927,13010,3871,4022,4022
2008,13091,3871,4022,4022
2087,13170,3871,4022,4022
2168,13251,3871,4022,4022
2248,13331,3871,4022,4022
2327,13410,3871,4022,4022
2407,13490,3871,4022,4022
2488,13571,3871,4022,4022
2568,13651,3871,4022,4022
2647,13730,3871,4022,4022
2728,13811,3871,4022,4022
2808,13891,3871,4022,4022
2887,13970,3871,4022,4022
2967,14050,3871,4022,4022
3047,14130,3871,4022,4022
3127,14210,3871,4022,4022
3208,14291,3871,4022,4022
3287,14370,3871,4022,4022
3367,14450,3871,4022,4022
3447,14530,3871,4022,4022
3527,14610,3871,4022,4022
3607,14690,3871,4022,4022
3687,14770,3871,4022,4022
3768,14851,3871,4022,4022
3848,14931,3871,4022,4022
3928,15011,3871,4022,4022
4007,15090,3871,4022,4022
4088,15171,3871,4022,4022
4168,15251,3871,4022,4022
4247,15330,3871,4022,4022
4327,15410,3871,4022,4022
4407,15490,3871,4022,4022
4487,15570,3871,4022,4022
4567,15650,3871,4022,4022
4647,15730,3871,4022,4022
4727,15810,3871,4022,4022
4807,15890,3871,4022,4022
4899,15982,3871,3192,3192
4967,16050,3831,3192,3192
5047,16130,3765,3192,3192
5127,16210,3705,3192,3192
5207,16290,3651,3192,3192
5287,16370,3605,3192,3192
5367,16450,3566,3192,3192
5447,16530,3531,3192,3192
5527,16610,3504,3192,3192
5607,16690,3478,3192,3192
5687,16770,3459,3192,3192
5767,16850,3439,3192,3192
5848,16931,3423,3192,3192
5928,17011,3413,3192,3192
6007,17090,3404,3192,3192
6087,17170,3392,3192,3192
6167,17250,3381,3192,3192
6247,17330,3375,3192,3192
6327,17410,3373,3192,3192
6407,17490,3370,3192,3192
6486,17569,3368,3192,3192
6567,17650,3367,3192,3192
6647,17730,3367,3192,3192
6726,17809,3367,3192,3192
6807,17890,3367,3192,3192
6887,17970,3367,3192,3192
6967,18050,3367,3192,3192
7048,18131,3367,3192,3192
7127,18210,3367,3192,3192
7207,18290,3367,3192,3192
7286,18369,3367,3192,3192
7367,18450,3367,3192,3192
7447,18530,3367,3192,3192
7527,18610,3367,3192,3192
7606,18689,3367,3192,3192
7686,18769,3367,3192,3192
7767,18850,3367,3192,3192
7846,18929,3367,3192,3192
7927,19010,3367,3192,3192
8007,19090,3367,3192,3192
8098,19181,3365,1183,1183
8167,19250,3229,1183,1183
8247,19330,3011,1183,1183
8327,19410,2802,1183,1183
8407,19490,2612,1183,1183
