Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory
0,14331,3454,3719,3719
74,14405,3454,3719,3719
152,14483,3454,3719,3719
216,14547,3454,3719,3719
280,14611,3454,3719,3719
344,14675,3454,3719,3719
408,14739,3454,3719,3719
471,14802,3454,3719,3719
535,14866,3454,3719,3719
600,14931,3454,3719,3719
663,14994,3454,3719,3719
728,15059,3454,3719,3719
791,15122,3454,3719,3719
855,15186,3454,3719,3719
919,15250,3454,3719,3719
983,15314,3454,3719,3719
1048,15379,3454,3719,3719
1112,15443,3454,3719,3719
1176,15507,3454,3719,3719
1240,15571,3454,3719,3719
1304,15635,3454,3719,3719
1367,15698,3454,3719,3719
1431,15762,3454,3719,3719
1495,15826,3454,3719,3719
1560,15891,3454,3719,3719
1623,15954,3454,3719,3719
1688,16019,3454,3719,3719
1751,16082,3454,3719,3719
1815,16146,3454,3719,3719
1879,16210,3454,3719,3719
1943,16274,3454,3719,3719
2007,16338,3454,3719,3719
2072,16403,3454,3719,3719
2136,16467,3454,3719,3719
2199,16530,3454,3719,3719
2264,16595,3454,3719,3719
2327,16658,3454,3719,3719
2392,16723,3454,3719,3719
2456,16787,3454,3719,3719
2519,16850,3454,3719,3719
2583,16914,3454,3719,3719
2648,16979,3454,3719,3719
2711,17042,3454,3719,3719
2774,17105,3454,3719,3719
2840,17171,3454,3719,3719
2902,17233,3454,3719,3719
2968,17299,3454,3719,3719
3032,17363,3454,3719,3719
3095,17426,3454,3719,3719
3159,17490,3454,3719,3719
3223,17554,3454,3719,3719
3287,17618,3454,3719,3719
3351,17682,3454,3719,3719
3415,17746,3454,3719,3719
3479,17810,3454,3719,3719
3543,17874,3454,3719,3719
3607,17938,3454,3719,3719
3671,18002,3454,3719,3719
3735,18066,3454,3719,3719
3799,18130,3454,3719,3719
3863,18194,3454,3719,3719
3927,18258,3454,3719,3719
3991,18322,3454,3719,3719
4055,18386,3454,3719,3719
4119,18450,3454,3719,3719
4183,18514,3454,3719,3719
4247,18578,3454,3719,3719
4311,18642,3454,3719,3719
4375,18706,3454,3719,3719
4439,18770,3454,3719,3719
4503,18834,3454,3719,3719
4567,18898,3454,3719,3719
4631,18962,3454,3719,3719
4695,19026,3454,3719,3719
4759,19090,3454,3719,3719
4823,19154,3454,3719,3719
4902,19233,3454,2676,2676
4967,19298,3421,2676,2676
5030,19361,3379,2676,2676
5095,19426,3338,2676,2676
5159,19490,3301,2676,2676
5222,19553,3265,2676,2676
5287,19618,3232,2676,2676
5351,19682,3203,2676,2676
5415,19746,3175,2676,2676
5479,19810,3150,2676,2676
5543,19874,3126,2676,2676
5607,19938,3105,2676,2676
5671,20002,3088,2676,2676
5734,20065,3070,2676,2676
5799,20130,3053,2676,2676
5862,20193,3042,2676,2676
5926,20257,3029,2676,2676
5990,20321,3013,2676,2676
6055,20386,3001,2676,2676
6118,20449,2992,2676,2676
6183,20514,2983,2676,2676
6246,20577,2974,2676,2676
6311,20642,2962,2676,2676
6374,20705,2952,2676,2676
6438,20769,2946,2676,2676
6502,20833,2942,2676,2676
6566,20897,2941,2676,2676
6631,20962,2941,2676,2676
6695,21026,2941,2676,2676
6759,21090,2941,2676,2676
6822,21153,2941,2676,2676
6887,21218,2941,2676,2676
6951,21282,2941,2676,2676
7015,21346,2941,2676,2676
7079,21410,2941,2676,2676
7142,21473,2941,2676,2676
7206,21537,2941,2676,2676
7270,21601,2941,2676,2676
7334,21665,2941,2676,2676
7398,21729,2941,2676,2676
7462,21793,2941,2676,2676
7526,21857,2941,2676,2676
7591,21922,2941,2676,2676
7654,21985,2941,2676,2676
7719,22050,2941,2676,2676
7783,22114,2941,2676,2676
7847,22178,2941,2676,2676
7911,22242,2941,2676,2676
7974,22305,2941,2676,2676
8039,22370,2941,2676,2676
8102,22433,2941,2676,2676
8166,22497,2941,2676,2676
8231,22562,2941,2676,2676
8294,22625,2941,2676,2676
8358,22689,2941,2676,2676
8422,22753,2941,2676,2676
8487,22818,2941,2676,2676
8550,22881,2941,2676,2676
8614,22945,2941,2676,2676
8678,23009,2941,2676,2676
8742,23073,2941,2676,2676
8806,23137,2941,2676,2676
8870,23201,2941,2676,2676
8934,23265,2941,2676,2676
8998,23329,2941,2676,2676
9062,23393,2941,2676,2676
9126,23457,2941,2676,2676
9190,23521,2941,2676,2676
9254,23585,2941,2676,2676
9318,23649,2941,2676,2676
9382,23713,2941,2676,2676
9446,23777,2941,2676,2676
9510,23841,2941,2676,2676
9589,23920,2941,3823,3823
9655,23986,2978,3823,3823
9718,24049,3024,3823,3823
9782,24113,3070,3823,3823
9846,24177,3112,3823,3823
9910,24241,3153,3823,3823
9974,24305,3189,3823,3823
10037,24368,3221,3823,3823
10106,24437,3254,3823,3823
10182,24513,3287,3823,3823
10245,24576,3311,3823,3823
10310,24641,3335,3823,3823
10375,24706,3357,3823,3823
10438,24769,3374,3823,3823
10502,24833,3395,3823,3823
10566,24897,3412,3823,3823
10630,24961,3427,3823,3823
10694,25025,3444,3823,3823
10758,25089,3458,3823,3823
10822,25153,3469,3823,3823
10885,25216,3479,3823,3823
10950,25281,3492,3823,3823
11014,25345,3503,3823,3823
11078,25409,3511,3823,3823
11142,25473,3518,3823,3823
11205,25536,3525,3823,3823
11270,25601,3534,3823,3823
11333,25664,3543,3823,3823
11398,25729,3551,3823,3823
11465,25796,3559,3823,3823
11542,25873,3564,3823,3823
11606,25937,3567,3823,3823
11670,26001,3570,3823,3823
11734,26065,3574,3823,3823
11798,26129,3579,3823,3823
11862,26193,3583,3823,3823
11926,26257,3588,3823,3823
11990,26321,3594,3823,3823
12055,26386,3599,3823,3823
12118,26449,3603,3823,3823
12182,26513,3607,3823,3823
12245,26576,3609,3823,3823
12311,26642,3610,3823,3823
12373,26704,3610,3823,3823
12438,26769,3610,3823,3823
12502,26833,3610,3823,3823
12565,26896,3610,3823,3823
12629,26960,3610,3823,3823
12693,27024,3610,3823,3823
12758,27089,3610,3823,3823
12821,27152,3610,3823,3823
12887,27218,3610,3823,3823
12965,27296,3610,3823,3823
13030,27361,3610,3823,3823
