Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory
0,630,2091,2091,2091
100,730,2091,2091,2091
200,830,2091,2091,2091
278,908,2091,2091,2091
358,988,2091,2091,2091
438,1068,2091,2091,2091
517,1147,2091,2091,2091
599,1229,2091,2091,2091
677,1307,2091,2091,2091
758,1388,2091,2091,2091
838,1468,2091,2091,2091
918,1548,2091,2091,2091
998,1628,2091,2091,2091
1078,1708,2091,2091,2091
1157,1787,2091,2091,2091
1238,1868,2091,2091,2091
1319,1949,2091,2091,2091
1398,2028,2091,2091,2091
1478,2108,2091,2091,2091
1557,2187,2091,2091,2091
1637,2267,2091,2091,2091
1718,2348,2090,2091,2091
1798,2428,2091,2091,2091
1878,2508,2091,2091,2091
1957,2587,2091,2091,2091
2038,2668,2091,2091,2091
2118,2748,2091,2091,2091
2198,2828,2091,2091,2091
2277,2907,2090,2091,2091
2358,2988,2091,2091,2091
2437,3067,2091,2091,2091
2518,3148,2091,2091,2091
2597,3227,2091,2091,2091
2698,3328,2090,1471,1471
2788,3418,2023,1471,1471
2877,3507,1951,1471,1471
2958,3588,1896,1471,1471
3037,3667,1850,1471,1471
3117,3747,1811,1471,1471
3197,3827,1777,1471,1471
3277,3907,1748,1471,1471
3357,3987,1724,1471,1471
3437,4067,1704,1471,1471
3517,4147,1685,1471,1471
3598,4228,1672,1471,1471
3677,4307,1664,1471,1471
3757,4387,1655,1471,1471
3837,4467,1644,1471,1471
3918,4548,1633,1471,1471
3998,4628,1627,1471,1471
4077,4707,1622,1471,1471
4158,4788,1619,1471,1471
4237,4867,1619,1471,1471
4317,4947,1618,1471,1471
4398,5028,1618,1471,1471
4477,5107,1618,1471,1471
4558,5188,1618,1471,1471
4638,5268,1618,1471,1471
4717,5347,1618,1471,1471
4797,5427,1618,1471,1471
4877,5507,1618,1471,1471
4957,5587,1618,1471,1471
5037,5667,1618,1471,1471
5117,5747,1618,1471,1471
5197,5827,1618,1471,1471
5277,5907,1618,1471,1471
5357,5987,1618,1471,1471
5437,6067,1618,1471,1471
5518,6148,1618,1471,1471
5597,6227,1618,1471,1471
5677,6307,1618,1471,1471
5757,6387,1618,1471,1471
5837,6467,1618,1471,1471
5917,6547,1618,1471,1471
5997,6627,1618,1471,1471
6077,6707,1618,1471,1471
6158,6788,1618,1471,1471
6237,6867,1618,1471,1471
6317,6947,1618,1471,1471
6397,7027,1618,1471,1471
6478,7108,1618,1471,1471
6556,7186,1618,1471,1471
6638,7268,1618,1471,1471
6717,7347,1618,1471,1471
6798,7428,1618,1471,1471
6877,7507,1618,1471,1471
6958,7588,1618,1471,1471
7037,7667,1618,1471,1471
7117,7747,1618,1471,1471
7198,7828,1618,1471,1471
7278,7908,1618,1471,1471
7357,7987,1618,1471,1471
7457,8087,1629,2809,2809
7536,8166,1756,2809,2809
7617,8247,1900,2809,2809
7697,8327,2021,2809,2809
7777,8407,2124,2809,2809
7857,8487,2214,2809,2809
7937,8567,2292,2809,2809
8017,8647,2357,2809,2809
8098,8728,2412,2809,2809
8197,8827,2471,2809,2809
8277,8907,2511,2809,2809
8357,8987,2544,2809,2809
8437,9067,2572,2809,2809
8517,9147,2597,2809,2809
8597,9227,2618,2809,2809
8678,9308,2634,2809,2809
8757,9387,2649,2809,2809
8837,9467,2662,2809,2809
8917,9547,2671,2809,2809
8996,9626,2677,2809,2809
9076,9706,2684,2809,2809
9157,9787,2691,2809,2809
9236,9866,2697,2809,2809
9316,9946,2702,2809,2809
9397,10027,2705,2809,2809
9477,10107,2707,2809,2809
9556,10186,2709,2809,2809
9637,10267,2709,2809,2809
9716,10346,2709,2809,2809
9797,10427,2709,2809,2809
9876,10506,2709,2809,2809
9957,10587,2709,2809,2809
10037,10667,2709,2809,2809
10117,10747,2709,2809,2809
10197,10827,2709,2809,2809
10277,10907,2709,2809,2809
10356,10986,2709,2809,2809
10436,11066,2709,2809,2809
10516,11146,2709,2809,2809
10597,11227,2709,2809,2809
10677,11307,2709,2809,2809
10756,11386,2709,2809,2809
10836,11466,2709,2809,2809
10916,11546,2709,2809,2809
10997,11627,2709,2809,2809
11076,11706,2709,2809,2809
11156,11786,2709,2809,2809
11237,11867,2709,2809,2809
11316,11946,2709,2809,2809
11396,12026,2709,2809,2809
11476,12106,2709,2809,2809
11557,12187,2709,2809,2809
11636,12266,2709,2809,2809
11716,12346,2709,2809,2809
11796,12426,2709,2809,2809
11876,12506,2709,2809,2809
11957,12587,2709,2809,2809
12036,12666,2709,2809,2809
12117,12747,2709,2809,2809
12196,12826,2709,2809,2809
12277,12907,2709,2809,2809
12357,12987,2709,2809,2809
12436,13066,2709,2809,2809
12516,13146,2709,2809,2809
12596,13226,2709,2809,2809
12676,13306,2709,2809,2809
12756,13386,2709,2809,2809
12836,13466,2709,2809,2809
12916,13546,2709,2809,2809
12996,13626,2709,2809,2809
13076,13706,2709,2809,2809
13158,13788,2709,2809,2809
13236,13866,2709,2809,2809
13316,13946,2709,2809,2809
13396,14026,2709,2809,2809
13476,14106,2709,2809,2809
13556,14186,2709,2809,2809
13636,14266,2709,2809,2809
13716,14346,2709,2809,2809
13796,14426,2709,2809,2809
13876,14506,2709,2809,2809
13957,14587,2709,2809,2809
14036,14666,2709,2809,2809
14116,14746,2709,2809,2809
14196,14826,2709,2809,2809
14276,14906,2709,2809,2809
14367,14997,2709,3774,3774
14436,15066,2795,3774,3774
14516,15146,2922,3774,3774
14595,15225,3036,3774,3774
14676,15306,3131,3774,3774
14756,15386,3211,3774,3774
14836,15466,3277,3774,3774
14915,15545,3332,3774,3774
14996,15626,3379,3774,3774
15076,15706,3420,3774,3774
15156,15786,3457,3774,3774
15236,15866,3485,3774,3774
15315,15945,3511,3774,3774
15396,16026,3532,3774,3774
15476,16106,3554,3774,3774
15556,16186,3569,3774,3774
15636,16266,3583,3774,3774
15715,16345,3596,3774,3774
15796,16426,3608,3774,3774
15876,16506,3615,3774,3774
15956,16586,3620,3774,3774
16036,16666,3623,3774,3774
16116,16746,3626,3774,3774
16195,16825,3628,3774,3774
16275,16905,3630,3774,3774
16356,16986,3633,3774,3774
16436,17066,3638,3774,3774
16516,17146,3643,3774,3774
16596,17226,3648,3774,3774
16676,17306,3652,3774,3774
16755,17385,3654,3774,3774
16836,17466,3657,3774,3774
16915,17545,3658,3774,3774
16996,17626,3658,3774,3774
17075,17705,3658,3774,3774
17156,17786,3658,3774,3774
17235,17865,3658,3774,3774
17316,17946,3658,3774,3774
17395,18025,3658,3774,3774
17476,18106,3658,3774,3774
17555,18185,3658,3774,3774
17636,18266,3658,3774,3774
17715,18345,3658,3774,3774
17796,18426,3658,3774,3774
17876,18506,3658,3774,3774
17956,18586,3658,3774,3774
18036,18666,3658,3774,3774
18116,18746,3658,3774,3774
18195,18825,3658,3774,3774
18275,18905,3658,3774,3774
18355,18985,3658,3774,3774
