Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory,change,error,K*error,Time[s],mod_time,mod_present_pos,mod_goal_pos
43769,28456,3169,4015,4015,0.0,846,50760,43.769,0.07000000000000028,86.0,932.0
43849,28536,3296,4015,4015,0.0,719,43140,43.849,0.14999999999999858,213.0,932.0
43929,28616,3408,4015,4015,0.0,607,36420,43.929,0.23000000000000398,325.0,932.0
44010,28697,3503,4015,4015,0.0,512,30720,44.01,0.31099999999999994,420.0,932.0
44089,28776,3579,4015,4015,0.0,436,26160,44.089,0.39000000000000057,496.0,932.0
44169,28856,3641,4015,4015,0.0,374,22440,44.169,0.46999999999999886,558.0,932.0
44250,28937,3692,4015,4015,0.0,323,19380,44.25,0.5510000000000019,609.0,932.0
44329,29016,3734,4015,4015,0.0,281,16860,44.329,0.6300000000000026,651.0,932.0
44409,29096,3768,4015,4015,0.0,247,14820,44.409,0.7100000000000009,685.0,932.0
44488,29175,3794,4015,4015,0.0,221,13260,44.488,0.7890000000000015,711.0,932.0
44569,29256,3819,4015,4015,0.0,196,11760,44.569,0.8700000000000045,736.0,932.0
44649,29336,3836,4015,4015,0.0,179,10740,44.649,0.9500000000000028,753.0,932.0
44730,29417,3852,4015,4015,0.0,163,9780,44.73,1.0309999999999988,769.0,932.0
44809,29496,3865,4015,4015,0.0,150,9000,44.809,1.1099999999999994,782.0,932.0
44889,29576,3876,4015,4015,0.0,139,8340,44.889,1.1900000000000048,793.0,932.0
44969,29656,3883,4015,4015,0.0,132,7920,44.969,1.2700000000000031,800.0,932.0
45049,29736,3886,4015,4015,0.0,129,7740,45.049,1.3500000000000014,803.0,932.0
45129,29816,3888,4015,4015,0.0,127,7620,45.129,1.4299999999999997,805.0,932.0
45209,29896,3890,4015,4015,0.0,125,7500,45.209,1.5100000000000051,807.0,932.0
45288,29975,3891,4015,4015,0.0,124,7440,45.288,1.5889999999999986,808.0,932.0
45369,30056,3891,4015,4015,0.0,124,7440,45.369,1.6700000000000017,808.0,932.0
45449,30136,3891,4015,4015,0.0,124,7440,45.449,1.75,808.0,932.0
45529,30216,3891,4015,4015,0.0,124,7440,45.529,1.8300000000000054,808.0,932.0
45609,30296,3891,4015,4015,0.0,124,7440,45.609,1.9100000000000037,808.0,932.0
45689,30376,3891,4015,4015,0.0,124,7440,45.689,1.990000000000002,808.0,932.0
45769,30456,3891,4015,4015,0.0,124,7440,45.769,2.0700000000000003,808.0,932.0
45849,30536,3891,4015,4015,0.0,124,7440,45.849,2.1499999999999986,808.0,932.0
45929,30616,3891,4015,4015,0.0,124,7440,45.929,2.230000000000004,808.0,932.0
46009,30696,3891,4015,4015,0.0,124,7440,46.009,2.3100000000000023,808.0,932.0
46089,30776,3891,4015,4015,0.0,124,7440,46.089,2.3900000000000006,808.0,932.0
46170,30857,3891,4015,4015,0.0,124,7440,46.17,2.4710000000000036,808.0,932.0
46249,30936,3891,4015,4015,0.0,124,7440,46.249,2.5500000000000043,808.0,932.0
46329,31016,3891,4015,4015,0.0,124,7440,46.329,2.6300000000000026,808.0,932.0
46409,31096,3891,4015,4015,0.0,124,7440,46.409,2.710000000000001,808.0,932.0
46488,31175,3891,4015,4015,0.0,124,7440,46.488,2.7890000000000015,808.0,932.0
46568,31255,3891,4015,4015,0.0,124,7440,46.568,2.8689999999999998,808.0,932.0
46649,31336,3891,4015,4015,0.0,124,7440,46.649,2.950000000000003,808.0,932.0
46728,31415,3891,4015,4015,0.0,124,7440,46.728,3.0290000000000035,808.0,932.0
46809,31496,3891,4015,4015,0.0,124,7440,46.809,3.1099999999999994,808.0,932.0
46889,31576,3891,4015,4015,0.0,124,7440,46.889,3.190000000000005,808.0,932.0
46968,31655,3891,4015,4015,0.0,124,7440,46.968,3.2690000000000055,808.0,932.0
47048,31735,3892,4015,4015,0.0,123,7380,47.048,3.3490000000000038,809.0,932.0
47130,31817,3891,4015,4015,0.0,124,7440,47.13,3.4310000000000045,808.0,932.0
