Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory,change,error,K*error,Time[s],mod_time,mod_present_pos,mod_goal_pos
25172,9859,3478,4019,4019,0.0,541,32460,25.172,0.08099999999999952,74.0,615.0
25251,9938,3557,4019,4019,0.0,462,27720,25.251,0.16000000000000014,153.0,615.0
25331,10018,3625,4019,4019,0.0,394,23640,25.331,0.23999999999999844,221.0,615.0
25412,10099,3681,4019,4019,0.0,338,20280,25.412,0.32099999999999795,277.0,615.0
25491,10178,3726,4019,4019,0.0,293,17580,25.491,0.3999999999999986,322.0,615.0
25572,10259,3764,4019,4019,0.0,255,15300,25.572,0.4809999999999981,360.0,615.0
25651,10338,3792,4019,4019,0.0,227,13620,25.651,0.5599999999999987,388.0,615.0
25731,10418,3818,4019,4019,0.0,201,12060,25.731,0.6400000000000006,414.0,615.0
25811,10498,3838,4019,4019,0.0,181,10860,25.811,0.7199999999999989,434.0,615.0
25891,10578,3854,4019,4019,0.0,165,9900,25.891,0.7999999999999972,450.0,615.0
25972,10659,3868,4019,4019,0.0,151,9060,25.972,0.8810000000000002,464.0,615.0
26051,10738,3880,4019,4019,0.0,139,8340,26.051,0.9599999999999973,476.0,615.0
26132,10819,3885,4019,4019,0.0,134,8040,26.132,1.0410000000000004,481.0,615.0
26212,10899,3889,4019,4019,0.0,130,7800,26.212,1.1209999999999987,485.0,615.0
26292,10979,3892,4019,4019,0.0,127,7620,26.292,1.2010000000000005,488.0,615.0
26372,11059,3894,4019,4019,0.0,125,7500,26.372,1.2809999999999988,490.0,615.0
26451,11138,3897,4019,4019,0.0,122,7320,26.451,1.3599999999999994,493.0,615.0
26531,11218,3900,4019,4019,0.0,119,7140,26.531,1.4399999999999977,496.0,615.0
26612,11299,3903,4019,4019,0.0,116,6960,26.612,1.5209999999999972,499.0,615.0
26691,11378,3908,4019,4019,0.0,111,6660,26.691,1.5999999999999979,504.0,615.0
26771,11458,3909,4019,4019,0.0,110,6600,26.771,1.6799999999999997,505.0,615.0
26851,11538,3911,4019,4019,0.0,108,6480,26.851,1.759999999999998,507.0,615.0
26932,11619,3913,4019,4019,0.0,106,6360,26.932,1.8409999999999975,509.0,615.0
27011,11698,3912,4019,4019,0.0,107,6420,27.011,1.9199999999999982,508.0,615.0
27091,11778,3913,4019,4019,0.0,106,6360,27.091,2.0,509.0,615.0
27172,11859,3913,4019,4019,0.0,106,6360,27.172,2.0809999999999995,509.0,615.0
27251,11938,3913,4019,4019,0.0,106,6360,27.251,2.16,509.0,615.0
27332,12019,3913,4019,4019,0.0,106,6360,27.332,2.2409999999999997,509.0,615.0
27411,12098,3912,4019,4019,0.0,107,6420,27.411,2.3200000000000003,508.0,615.0
27492,12179,3913,4019,4019,0.0,106,6360,27.492,2.401,509.0,615.0
27571,12258,3913,4019,4019,0.0,106,6360,27.571,2.4800000000000004,509.0,615.0
27652,12339,3913,4019,4019,0.0,106,6360,27.652,2.561,509.0,615.0
27731,12418,3913,4019,4019,0.0,106,6360,27.731,2.6400000000000006,509.0,615.0
27811,12498,3913,4019,4019,0.0,106,6360,27.811,2.719999999999999,509.0,615.0
27891,12578,3913,4019,4019,0.0,106,6360,27.891,2.799999999999997,509.0,615.0
27971,12658,3913,4019,4019,0.0,106,6360,27.971,2.879999999999999,509.0,615.0
28051,12738,3913,4019,4019,0.0,106,6360,28.051,2.9599999999999973,509.0,615.0
28131,12818,3913,4019,4019,0.0,106,6360,28.131,3.039999999999999,509.0,615.0
28212,12899,3913,4019,4019,0.0,106,6360,28.212,3.1209999999999987,509.0,615.0
28291,12978,3913,4019,4019,0.0,106,6360,28.291,3.1999999999999993,509.0,615.0
28372,13059,3913,4019,4019,0.0,106,6360,28.372,3.280999999999999,509.0,615.0
28451,13138,3913,4019,4019,0.0,106,6360,28.451,3.3599999999999994,509.0,615.0
28532,13219,3913,4019,4019,0.0,106,6360,28.532,3.440999999999999,509.0,615.0
28611,13298,3913,4019,4019,0.0,106,6360,28.611,3.5199999999999996,509.0,615.0
28691,13378,3913,4019,4019,0.0,106,6360,28.691,3.599999999999998,509.0,615.0
28771,13458,3913,4019,4019,0.0,106,6360,28.771,3.6799999999999997,509.0,615.0
28851,13538,3913,4019,4019,0.0,106,6360,28.851,3.759999999999998,509.0,615.0
28931,13618,3913,4019,4019,0.0,106,6360,28.931,3.84,509.0,615.0
29011,13698,3913,4019,4019,0.0,106,6360,29.011,3.919999999999998,509.0,615.0
29092,13779,3913,4019,4019,0.0,106,6360,29.092,4.000999999999998,509.0,615.0
29172,13859,3913,4019,4019,0.0,106,6360,29.172,4.0809999999999995,509.0,615.0
29252,13939,3913,4019,4019,0.0,106,6360,29.252,4.160999999999998,509.0,615.0
29332,14019,3913,4019,4019,0.0,106,6360,29.332,4.241,509.0,615.0
29411,14098,3913,4019,4019,0.0,106,6360,29.411,4.32,509.0,615.0
29491,14178,3913,4019,4019,0.0,106,6360,29.491,4.399999999999999,509.0,615.0
29571,14258,3913,4019,4019,0.0,106,6360,29.571,4.48,509.0,615.0
29652,14339,3913,4019,4019,0.0,106,6360,29.652,4.561,509.0,615.0
29731,14418,3913,4019,4019,0.0,106,6360,29.731,4.640000000000001,509.0,615.0
29811,14498,3913,4019,4019,0.0,106,6360,29.811,4.719999999999999,509.0,615.0
29891,14578,3913,4019,4019,0.0,106,6360,29.891,4.799999999999997,509.0,615.0
29971,14658,3913,4019,4019,0.0,106,6360,29.971,4.879999999999999,509.0,615.0
30051,14738,3913,4019,4019,0.0,106,6360,30.051,4.959999999999997,509.0,615.0
30132,14819,3913,4019,4019,0.0,106,6360,30.132,5.041,509.0,615.0
30211,14898,3913,4019,4019,0.0,106,6360,30.211,5.119999999999997,509.0,615.0
30291,14978,3913,4019,4019,0.0,106,6360,30.291,5.199999999999999,509.0,615.0
30371,15058,3913,4019,4019,0.0,106,6360,30.371,5.279999999999998,509.0,615.0
