Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory,change,error,K*error,Time[s],mod_time,mod_present_pos,mod_goal_pos
18913,3600,2242,3512,3512,0.0,1270,76200,18.913,0.07499999999999929,147.0,1417.0
18992,3679,2446,3512,3512,0.0,1066,63960,18.992,0.15399999999999991,351.0,1417.0
19073,3760,2639,3512,3512,0.0,873,52380,19.073,0.23499999999999943,544.0,1417.0
19152,3839,2796,3512,3512,0.0,716,42960,19.152,0.31400000000000006,701.0,1417.0
19233,3920,2917,3512,3512,0.0,595,35700,19.233,0.3949999999999996,822.0,1417.0
19312,3999,3012,3512,3512,0.0,500,30000,19.312,0.4740000000000002,917.0,1417.0
19392,4079,3087,3512,3512,0.0,425,25500,19.392,0.5539999999999985,992.0,1417.0
19472,4159,3148,3512,3512,0.0,364,21840,19.472,0.6340000000000003,1053.0,1417.0
19552,4239,3198,3512,3512,0.0,314,18840,19.552,0.7139999999999986,1103.0,1417.0
19632,4319,3235,3512,3512,0.0,277,16620,19.632,0.7940000000000005,1140.0,1417.0
19713,4400,3266,3512,3512,0.0,246,14760,19.713,0.875,1171.0,1417.0
19793,4480,3294,3512,3512,0.0,218,13080,19.793,0.9549999999999983,1199.0,1417.0
19873,4560,3311,3512,3512,0.0,201,12060,19.873,1.0350000000000001,1216.0,1417.0
19952,4639,3329,3512,3512,0.0,183,10980,19.952,1.1140000000000008,1234.0,1417.0
20032,4719,3345,3512,3512,0.0,167,10020,20.032,1.193999999999999,1250.0,1417.0
20112,4799,3354,3512,3512,0.0,158,9480,20.112,1.2739999999999974,1259.0,1417.0
20192,4879,3359,3512,3512,0.0,153,9180,20.192,1.3539999999999992,1264.0,1417.0
20272,4959,3362,3512,3512,0.0,150,9000,20.272,1.4339999999999975,1267.0,1417.0
20353,5040,3369,3512,3512,0.0,143,8580,20.353,1.5150000000000006,1274.0,1417.0
20432,5119,3378,3512,3512,0.0,134,8040,20.432,1.5939999999999976,1283.0,1417.0
20512,5199,3386,3512,3512,0.0,126,7560,20.512,1.6739999999999995,1291.0,1417.0
20592,5279,3392,3512,3512,0.0,120,7200,20.592,1.7539999999999978,1297.0,1417.0
20673,5360,3395,3512,3512,0.0,117,7020,20.673,1.8349999999999973,1300.0,1417.0
20752,5439,3397,3512,3512,0.0,115,6900,20.752,1.913999999999998,1302.0,1417.0
20833,5520,3397,3512,3512,0.0,115,6900,20.833,1.9949999999999974,1302.0,1417.0
20912,5599,3397,3512,3512,0.0,115,6900,20.912,2.073999999999998,1302.0,1417.0
20992,5679,3397,3512,3512,0.0,115,6900,20.992,2.154,1302.0,1417.0
21072,5759,3397,3512,3512,0.0,115,6900,21.072,2.233999999999998,1302.0,1417.0
21153,5840,3397,3512,3512,0.0,115,6900,21.153,2.3149999999999977,1302.0,1417.0
21232,5919,3397,3512,3512,0.0,115,6900,21.232,2.3939999999999984,1302.0,1417.0
21312,5999,3397,3512,3512,0.0,115,6900,21.312,2.474,1302.0,1417.0
21392,6079,3397,3512,3512,0.0,115,6900,21.392,2.5539999999999985,1302.0,1417.0
21473,6160,3397,3512,3512,0.0,115,6900,21.473,2.634999999999998,1302.0,1417.0
21553,6240,3397,3512,3512,0.0,115,6900,21.553,2.715,1302.0,1417.0
21632,6319,3397,3512,3512,0.0,115,6900,21.632,2.7940000000000005,1302.0,1417.0
21712,6399,3397,3512,3512,0.0,115,6900,21.712,2.8739999999999988,1302.0,1417.0
21792,6479,3397,3512,3512,0.0,115,6900,21.792,2.9540000000000006,1302.0,1417.0
21873,6560,3398,3512,3512,0.0,114,6840,21.873,3.035,1303.0,1417.0
