turn,total_collisions,first_ball_collision,potted_ball,action,start_ball0_x,start_ball0_y,start_ball8_x,start_ball8_y,start_ball1_x,start_ball1_y,start_ball2_x,start_ball2_y,start_ball3_x,start_ball3_y,start_ball4_x,start_ball4_y,start_ball5_x,start_ball5_y,start_ball6_x,start_ball6_y,start_ball11_x,start_ball11_y,start_ball12_x,start_ball12_y,start_ball13_x,start_ball13_y,start_ball14_x,start_ball14_y,end_ball0_x,end_ball0_y,end_ball8_x,end_ball8_y,end_ball1_x,end_ball1_y,end_ball2_x,end_ball2_y,end_ball3_x,end_ball3_y,end_ball4_x,end_ball4_y,end_ball5_x,end_ball5_y,end_ball6_x,end_ball6_y,end_ball11_x,end_ball11_y,end_ball12_x,end_ball12_y,end_ball13_x,end_ball13_y,end_ball14_x,end_ball14_y
0,10,0,none,-0.4,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,282.3428022594494,206.80177714727915,704.0,309.0,568.7332629165891,419.65358920467236,587.2724394398887,307.46246071595965,714.0562445274438,366.06392478863376,252.19483410795732,172.73373163977936,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,792.3063024036595,367.0943929410767,544.7777474075576,486.3393679343506
0,7,0,none,-0.30000000000000004,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,437.2100720950277,219.1454237574775,704.0,309.0,568.5726926476423,421.3126215123683,570.0191907682404,287.28076902182517,680.74701065625,408.5043667765536,253.33617985345526,167.4108033659505,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,544.9527794757182,487.3738732145729
0,7,0,none,-0.20000000000000007,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,436.1812853375729,219.60756188526904,704.0,309.0,568.6310451527229,420.81045745948217,570.0765980017061,287.3167883740936,682.5182894107184,408.3308799067458,252.9483891859757,169.2053621594641,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,544.8947983536781,487.02893528754186
0,7,0,none,-0.10000000000000009,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,435.07350479578895,220.11275364756725,704.0,309.0,568.6857113420419,420.2492908185926,570.1605042500619,287.35209408439334,684.3284536330791,408.15417836971784,252.5656208018828,170.99245381247374,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,544.8363441262427,486.69203270308907
0,7,0,none,-1.1102230246251565e-16,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,433.888894572479,220.66029164243096,704.0,309.0,568.7332629165891,419.65358920467236,570.2703514285428,287.38647092044374,686.1777248400763,407.97428409309526,252.19483410795732,172.73373163977936,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,544.7777474075576,486.3393679343506
0,7,0,none,0.09999999999999987,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,432.6574419670287,221.23362684508405,704.0,309.0,568.7697219044354,419.0227818192837,572.5466069031754,289.9466404071555,693.0158890302379,403.3219721492432,251.8347344199376,174.43528067480898,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,544.7214011491357,485.99079743905713
0,7,0,none,0.19999999999999984,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,431.36199872059206,221.83686239102775,704.0,309.0,568.7986552023332,418.361505872565,572.709153346334,289.979997095345,694.979739038823,403.1188265848407,251.47918533000143,176.1298246295267,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,544.6651430688032,485.630590210308
0,7,0,none,0.2999999999999998,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,429.9976207326368,222.4773908932364,704.0,309.0,573.7606761606847,422.16920865483206,572.8961254894924,290.0117384917989,696.9841310732404,402.91232443206053,251.13376049268686,177.7862332366509,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,543.1174781632097,481.24760757000706
0,8,0,none,1.6,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,408.5528547006822,233.01424388199723,704.0,309.0,575.5907828404613,425.1736121294194,572.652280823338,284.87457989022596,714.6004145126543,391.5301864363746,247.34424914930298,196.7502530695943,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,542.546559066463,467.27832531716257
0,8,0,none,1.7000000000000002,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,406.75964789305874,233.91889142272328,704.0,309.0,574.6198149356833,426.026613033967,573.087567830305,284.84902533848043,717.1025769809789,391.3300700415373,247.10223765989713,198.01484733160896,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,542.794742999836,466.44049841543864
0,8,0,none,1.8000000000000003,161,271,704,309,386,291,335,216,287,303,240,239,129,544,173,457,972,335,157,349,759,374,543,466,404.940951003167,234.83975451942092,704.0,309.0,573.5144656642317,425.6560128297128,573.5343602723525,284.81706581550833,719.6470952861692,391.12725900221164,246.8628601246139,199.27454648283643,129.0,544.0,173.0,457.0,972.0,335.0,157.0,349.0,759.0,374.0,542.9440971231301,466.10006031269876
