turn,total_collisions,first_ball_collision,potted_ball,action,start_ball0_x,start_ball0_y,start_ball8_x,start_ball8_y,start_ball1_x,start_ball1_y,start_ball9_x,start_ball9_y,end_ball0_x,end_ball0_y,end_ball8_x,end_ball8_y,end_ball1_x,end_ball1_y,end_ball9_x,end_ball9_y
0,2,-1,nothing,0.0,192,399,492,261,905,285,983,345,146.0049553956404,399.0,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.088,192,399,492,261,905,285,983,345,146.00488700707123,402.97313287883077,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.176,192,399,492,261,905,285,983,345,146.00468183684896,406.9462820214876,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.264,192,399,492,261,905,285,983,345,146.00433987145567,410.9194636894192,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.352,192,399,492,261,905,285,983,345,146.0038610883664,414.89269413931777,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.43999999999999995,192,399,492,261,905,285,983,345,146.00324545606372,418.8659896207447,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.5279999999999999,192,399,492,261,905,285,983,345,146.0024929341191,422.839366373755,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.6159999999999999,192,399,492,261,905,285,983,345,146.00160347317922,426.8128406265233,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.7039999999999998,192,399,492,261,905,285,983,345,146.00057701507447,430.7864285929753,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.7919999999999998,192,399,492,261,905,285,983,345,145.99941349282182,434.7601464704216,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.8799999999999998,192,399,492,261,905,285,983,345,145.99811283075283,438.73401043719247,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,0.9679999999999997,192,399,492,261,905,285,983,345,145.99667494458026,442.7080366502802,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.0559999999999998,192,399,492,261,905,285,983,345,145.99509974146898,446.6822412429843,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.144,192,399,492,261,905,285,983,345,145.9933871201552,450.656640322564,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.232,192,399,492,261,905,285,983,345,145.9915369710658,454.63124996789304,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.32,192,399,492,261,905,285,983,345,145.98954917642746,458.60608622712425,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.4080000000000001,192,399,492,261,905,285,983,345,145.98742361039874,462.58116511535883,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.4960000000000002,192,399,492,261,905,285,983,345,145.98516013921267,466.55650261232313,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.5840000000000003,192,399,492,261,905,285,983,345,145.9827586213148,470.5321146600557,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.6720000000000004,192,399,492,261,905,285,983,345,145.98021890754103,474.5080171605975,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.7600000000000005,192,399,492,261,905,285,983,345,145.97754084125222,478.48422597369967,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.8480000000000005,192,399,492,261,905,285,983,345,145.97472425855136,482.460756914524,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,1.9360000000000006,192,399,492,261,905,285,983,345,145.9717689884378,486.43762575138015,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.0240000000000005,192,399,492,261,905,285,983,345,145.96867485299546,490.41484820344255,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.1120000000000005,192,399,492,261,905,285,983,345,145.96544166763132,494.39243993850033,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.2000000000000006,192,399,492,261,905,285,983,345,145.96206924123024,498.3704165707111,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.2880000000000007,192,399,492,261,905,285,983,345,145.95855737642339,502.3487936583617,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.376000000000001,192,399,492,261,905,285,983,345,145.9549058697886,506.3275867016501,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.464000000000001,192,399,492,261,905,285,983,345,145.95111451210002,510.30681114047326,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.552000000000001,192,399,492,261,905,285,983,345,145.94718308853368,514.286482352231,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.640000000000001,192,399,492,261,905,285,983,345,145.94444075627854,518.2666156496445,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.728000000000001,192,399,492,261,905,285,983,345,145.94379338612217,522.2472262785795,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.816000000000001,192,399,492,261,905,285,983,345,145.9431194959187,526.2283294159043,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.9040000000000012,192,399,492,261,905,285,983,345,145.94241859561677,530.2099401673388,492.0,261.0,905.0,285.0,983.0,345.0
0,2,-1,nothing,2.9920000000000013,192,399,492,261,905,285,983,345,145.94169018309017,534.1920735653323,492.0,261.0,905.0,285.0,983.0,345.0
